Service:RDT-ID,date,Service:Type,Service:Company,Service:Train number,Service:Completely cancelled,Service:Partly cancelled,Service:Maximum delay,Stop:RDT-ID,Stop:Station code,station,Stop:Arrival time,Stop:Arrival delay,Stop:Arrival cancelled,Stop:Departure time,Stop:Departure delay,Stop:Departure cancelled
10367709,2023-01-01,Intercity,NS,1417,false,false,5,93067989,UT,Utrecht Centraal,,,,2023-01-01T04:15:00+01:00,2,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067990,ASB,Amsterdam Bijlmer ArenA,2023-01-01T04:33:00+01:00,2,false,2023-01-01T04:33:00+01:00,2,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067991,ASD,Amsterdam Centraal,2023-01-01T04:44:00+01:00,1,false,2023-01-01T04:46:00+01:00,3,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067992,ASS,Amsterdam Sloterdijk,2023-01-01T04:52:00+01:00,3,false,2023-01-01T04:52:00+01:00,5,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067993,SHL,Schiphol Airport,2023-01-01T05:02:00+01:00,3,false,2023-01-01T05:05:00+01:00,2,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067994,LEDN,Leiden Centraal,2023-01-01T05:21:00+01:00,0,false,2023-01-01T05:23:00+01:00,0,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067995,GV,Den Haag HS,2023-01-01T05:37:00+01:00,0,false,2023-01-01T05:38:00+01:00,0,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067996,DT,Delft,2023-01-01T05:45:00+01:00,0,false,2023-01-01T05:45:00+01:00,0,false
10367709,2023-01-01,Intercity,NS,1417,false,false,0,93067997,RTD,Rotterdam Centraal,2023-01-01T05:58:00+01:00,0,false,,,
10367710,2023-01-01,Sprinter,NS,4308,false,false,2,93067998,LLS,Lelystad Centrum,,,,2023-01-01T04:44:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93067999,ALMO,Almere Oostvaarders,2023-01-01T04:55:00+01:00,0,false,2023-01-01T04:55:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068000,ALMB,Almere Buiten,2023-01-01T04:58:00+01:00,0,false,2023-01-01T04:58:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068001,ALMP,Almere Parkwijk,2023-01-01T05:01:00+01:00,0,false,2023-01-01T05:01:00+01:00,1,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068002,ALM,Almere Centrum,2023-01-01T05:05:00+01:00,0,false,2023-01-01T05:05:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068003,ALMM,Almere Muziekwijk,2023-01-01T05:08:00+01:00,0,false,2023-01-01T05:08:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068004,AMPO,Almere Poort,2023-01-01T05:12:00+01:00,0,false,2023-01-01T05:12:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068005,WP,Weesp,2023-01-01T05:19:00+01:00,2,false,2023-01-01T05:21:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068006,DMNZ,Diemen Zuid,2023-01-01T05:27:00+01:00,0,false,2023-01-01T05:27:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068007,DVD,Duivendrecht,2023-01-01T05:30:00+01:00,0,false,2023-01-01T05:30:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068008,RAI,Amsterdam RAI,2023-01-01T05:34:00+01:00,0,false,2023-01-01T05:34:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068009,ASDZ,Amsterdam Zuid,2023-01-01T05:36:00+01:00,0,false,2023-01-01T05:37:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068010,SHL,Schiphol Airport,2023-01-01T05:43:00+01:00,0,false,2023-01-01T05:45:00+01:00,0,false
10367710,2023-01-01,Sprinter,NS,4308,false,false,0,93068011,HFD,Hoofddorp,2023-01-01T05:49:00+01:00,0,false,,,
10367711,2023-01-01,Sprinter,NS,5806,false,false,3,93068012,AMF,Amersfoort Centraal,,,,2023-01-01T04:48:00+01:00,0,false
10367711,2023-01-01,Sprinter,NS,5806,false,false,0,93068013,BRN,Baarn,2023-01-01T04:55:00+01:00,1,false,2023-01-01T04:55:00+01:00,0,false
10367711,2023-01-01,Sprinter,NS,5806,false,false,0,93068014,HVS,Hilversum,2023-01-01T05:01:00+01:00,0,false,2023-01-01T05:02:00+01:00,0,false
10367711,2023-01-01,Sprinter,NS,5806,false,false,0,93068015,HVSM,Hilversum Media Park,2023-01-01T05:04:00+01:00,0,false,2023-01-01T05:04:00+01:00,1,false
10367711,2023-01-01,Sprinter,NS,5806,false,false,0,93068016,BSMZ,Bussum Zuid,2023-01-01T05:08:00+01:00,0,false,2023-01-01T05:08:00+01:00,1,false
